# 런던 에스테틱 클리닉 밀집 지구
# 이름|위도,경도|반경km|셀km
Harley-Street|51.5205,-0.1490|2|1.5
Mayfair-Soho|51.5122,-0.1430|2|1.5
Chelsea-Kings-Road|51.4875,-0.1687|2|1.5
Knightsbridge|51.5010,-0.1600|1.5|1.5
Kensington|51.4990,-0.1938|2|2
Fulham|51.4780,-0.1990|2.5|2
Shoreditch-City|51.5230,-0.0780|2.5|2
Wimbledon|51.4220,-0.2080|3|2.5
