# 버밍엄·웨스트미들랜즈 에스테틱 클리닉 지구
# 런던보다 밀도가 낮아 셀을 2~2.5km로 잡는다.
# 이름|위도,경도|반경km|셀km
City-Centre|52.4800,-1.8980|2.5|2
Jewellery-Quarter|52.4870,-1.9120|1.5|1.5
Edgbaston|52.4640,-1.9250|2.5|2
Harborne|52.4590,-1.9520|2|2
Moseley-Kings-Heath|52.4400,-1.8880|2.5|2
Solihull|52.4120,-1.7780|3|2.5
Sutton-Coldfield|52.5620,-1.8240|3|2.5
Erdington|52.5240,-1.8380|2.5|2.5
